Id;Name;Host Id;Host Name;Neighbourhood Group;Neighbourhood;Latitude;Longitude;Room Type;Price;Minimum Nights;Number of Reviews;Last Review;Reviews per Month;Calculated Host Listings Count;Availability 365;Coordonnees
7673169;NEW AND CLEAN BEDROOM IN REAL PARIS;6740222;Agnès;;Ménilmontant;48.8715305732139;2.3787964850457106;Private room;50;3;3;2015-08-20;3.0;2;326;48.8715305732, 2.37879648505
1348848;Flat to rent! 20th arr.;7318210;;;Ménilmontant;48.85471000986668;2.403023183673176;Entire home/apt;70;4;2;2014-04-23;0.11;1;361;48.8547100099, 2.40302318367
418444;20° Paris Flat to dream & be happy;2081063;;;Ménilmontant;48.869447010588466;2.3825370641739747;Entire home/apt;70;1;12;2015-06-27;0.44;2;303;48.8694470106, 2.38253706417
2759981;Breathtaking view of Paris;9299000;;;Ménilmontant;48.85809489865265;2.409504819288468;Entire home/apt;98;7;2;2015-07-31;0.25;1;344;48.8580948987, 2.40950481929
3799931;Lovely Quiet Studio - Menilmontant;626007;;;Ménilmontant;48.86939231048421;2.3938676912870354;Entire home/apt;45;10;0;;;1;273;48.8693923105, 2.39386769129
7173620;Chambre avec Vue dans colocation;7830276;Fabien;;Ménilmontant;48.86781544606355;2.3824224040156605;Private room;25;5;2;2015-08-24;2.0;1;34;48.8678154461, 2.38242240402
1649861;Stunning Designer Studio - Marais;6355348;Carol;;Temple;48.86103010344289;2.354985778924813;Entire home/apt;155;3;82;2015-08-19;3.51;1;321;48.8610301034, 2.35498577892
28648;Chic/Romantic flat in the Marais;123106;;;Temple;48.8662457422095;2.360233144779313;Entire home/apt;110;3;27;2015-05-25;0.45;1;358;48.8662457422, 2.36023314478
250234;Marais: Pied a Terre: Sunny, Airy;259486;Philippe;;Temple;48.86730859049229;2.3574215667874956;Entire home/apt;85;5;27;2015-07-31;0.6;1;323;48.8673085905, 2.35742156679
2551579;Duplex typique du vieux Paris;13062249;;;Temple;48.86500152676833;2.3569231845988816;Entire home/apt;76;1;2;2015-08-07;0.63;1;219;48.8650015268, 2.3569231846
622836;65€/DAY CHARMING STUDIO CENTER;1955579;;;Temple;48.86883349664861;2.3554763943510273;Entire home/apt;65;2;9;2015-08-13;0.25;1;277;48.8688334966, 2.35547639435
3459916;Joli T2 en plein cœur du 3ème;17435748;Johanna;;Temple;48.865090617504734;2.3587295311442604;Entire home/apt;90;2;16;2015-08-31;1.36;1;0;48.8650906175, 2.35872953114
6520248;ID 96 Place des Vosges Bastille;24495283;Giacomo;;Temple;48.85783709087008;2.36717290878858;Entire home/apt;110;7;0;;;16;365;48.8578370909, 2.36717290879
628653;FAMILY APT MARAIS, 3rd PERS or BABY;3122589;Yvon;;Temple;48.86161354973442;2.3652342111439184;Entire home/apt;120;2;47;2015-07-17;1.33;1;335;48.8616135497, 2.36523421114
5864771;Beau 3 pièces 87 m2 près du Marais;30453924;;;Temple;48.86659779938499;2.362641412504246;Entire home/apt;72;1;5;2015-07-13;1.36;1;325;48.8665977994, 2.3626414125
4678525;Apartment next to Marais;24195381;Catharina;;Temple;48.86789404830832;2.360918790408657;Entire home/apt;200;1;2;2015-07-24;1.25;1;239;48.8678940483, 2.36091879041
4506039;Cozy apartment with high ceilings;6018327;Annika;;Temple;48.86030513511143;2.3584991869044263;Entire home/apt;135;2;26;2015-08-17;3.13;1;338;48.8603051351, 2.3584991869
2646092;Charming flat close to Notre-Dame;693019;Dima;;Temple;48.863838755258335;2.357017691119461;Entire home/apt;75;4;12;2015-07-06;0.73;1;241;48.8638387553, 2.35701769112
3044964;Paris, Les Marais, rue de Bretagne;4602427;Philippe And Marja;;Temple;48.86332346722916;2.363273969971152;Entire home/apt;140;2;34;2015-08-14;2.45;1;303;48.8633234672, 2.36327396997
29520;MARAIS: Unique studio with GARDEN;127098;Sarah;;Temple;48.8623818105632;2.3564082134949915;Entire home/apt;78;2;282;2015-08-28;4.39;1;293;48.8623818106, 2.35640821349
1360037;"Rooms 3 pers.""Le Marais""";6353775;Helene & Philippe;;Temple;48.857645021551015;2.367178154373214;Entire home/apt;250;1;0;;;2;244;48.8576450216, 2.36717815437
4563886;3-pièces proche Montorgueil Paris;21527101;Yohann;;Temple;48.866602431116156;2.3529426952621826;Entire home/apt;180;4;0;;;2;269;48.8666024311, 2.35294269526
1380396;Large Bedroom in Gorgeous Paris Apt;1581845;Indira;;Temple;48.858121322441114;2.3666321617650414;Private room;60;14;0;;;1;364;48.8581213224, 2.36663216177
4414670;FLAT IDEAL FOR ROMANTIC OR FAMILY;22516972;Noam;;Temple;48.866276025740724;2.3586677261777518;Entire home/apt;80;1;45;2015-08-12;5.63;1;316;48.8662760257, 2.35866772618
6071059;studio in the marais;31453172;Florence;;Temple;48.8613905990338;2.3625741114403276;Entire home/apt;100;3;11;2015-08-15;3.08;1;317;48.861390599, 2.36257411144
